from_kode,from_nama,from_lat,from_lon,to_kode,to_nama,to_lat,to_lon,straight_km,road_km,travel_minutes,method
3501,Kabupaten Pacitan,-8.1953,111.1012,3501,Kabupaten Pacitan,-8.1953,111.1012,0.0,0.0,0.0,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3502,Kabupaten Ponorogo,-7.8654,111.4595,53.87,70.03,84.0,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3503,Kabupaten Trenggalek,-8.0505,111.7082,68.73,89.35,107.2,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3504,Kabupaten Tulungagung,-8.0654,111.9024,89.37,116.18,139.4,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3505,Kabupaten Blitar,-8.0994,112.16,117.03,152.14,182.6,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3506,Kabupaten Kediri,-7.8489,112.0108,107.3,139.5,167.4,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3507,Kabupaten Malang,-8.0515,112.6409,170.24,221.31,265.6,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3508,Kabupaten Lumajang,-8.1339,113.2246,233.82,303.96,364.8,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3509,Kabupaten Jember,-8.1725,113.6883,284.75,370.18,444.2,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3510,Kabupaten Banyuwangi,-8.2193,114.352,357.78,465.11,558.1,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3511,Kabupaten Bondowoso,-7.9136,113.8214,301.12,391.46,469.7,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3512,Kabupaten Situbondo,-7.7067,114.0049,324.35,421.66,506.0,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3513,Kabupaten Probolinggo,-7.8662,113.2158,235.68,306.39,367.7,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3514,Kabupaten Pasuruan,-7.6469,112.9075,208.07,270.49,324.6,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3515,Kabupaten Sidoarjo,-7.4518,112.7181,196.37,255.28,306.3,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3516,Kabupaten Mojokerto,-7.4726,112.4341,167.38,217.59,261.1,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3517,Kabupaten Jombang,-7.5467,112.2354,144.25,187.53,225.0,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3518,Kabupaten Nganjuk,-7.6051,111.904,110.11,143.15,171.8,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3519,Kabupaten Madiun,-7.5438,111.5247,86.16,112.01,134.4,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3520,Kabupaten Magetan,-7.6462,111.3592,67.35,87.55,105.1,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3521,Kabupaten Ngawi,-7.4047,111.4475,95.83,124.58,149.5,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3522,Kabupaten Bojonegoro,-7.1506,111.8802,144.44,187.77,225.3,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3523,Kabupaten Tuban,-6.9667,112.05,172.05,223.66,268.4,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3524,Kabupaten Lamongan,-7.1197,112.4178,188.03,244.44,293.3,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3525,Kabupaten Gresik,-7.1641,112.6508,205.69,267.39,320.9,haversine
3501,Kabupaten Pacitan,-8.1953,111.1012,3526,Kabupaten Bangkalan,-7.0456,112.9352,239.16,310.91,373.1,haversine
