kode_bps,nama_kabupaten,date,source,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,wind_speed_10m_max
3501,Kabupaten Pacitan,2026-03-12,forecast,27.5,0.6,82,16.7
3501,Kabupaten Pacitan,2026-03-13,forecast,27.4,0.4,81,18.3
3501,Kabupaten Pacitan,2026-03-14,forecast,27.4,0.4,82,15.3
3501,Kabupaten Pacitan,2026-03-15,forecast,27.5,6.3,83,13.5
3501,Kabupaten Pacitan,2026-03-16,forecast,27.6,1.2,83,15.8
3501,Kabupaten Pacitan,2026-03-17,forecast,27.1,0.6,88,7.9
3501,Kabupaten Pacitan,2026-03-18,forecast,27.0,0.0,87,10.7
3502,Kabupaten Ponorogo,2026-03-12,forecast,26.5,0.1,78,17.3
3502,Kabupaten Ponorogo,2026-03-13,forecast,26.5,0.0,78,18.9
3502,Kabupaten Ponorogo,2026-03-14,forecast,26.6,1.0,80,10.4
3502,Kabupaten Ponorogo,2026-03-15,forecast,26.3,48.6,87,8.9
3502,Kabupaten Ponorogo,2026-03-16,forecast,26.6,4.8,84,6.5
3502,Kabupaten Ponorogo,2026-03-17,forecast,26.5,0.0,81,9.4
3502,Kabupaten Ponorogo,2026-03-18,forecast,26.5,0.6,80,8.8
3503,Kabupaten Trenggalek,2026-03-12,forecast,26.6,0.2,74,14.9
3503,Kabupaten Trenggalek,2026-03-13,forecast,26.8,0.3,74,14.1
3503,Kabupaten Trenggalek,2026-03-14,forecast,26.7,0.5,78,10.6
3503,Kabupaten Trenggalek,2026-03-15,forecast,26.5,8.1,83,8.1
3503,Kabupaten Trenggalek,2026-03-16,forecast,26.5,6.3,85,8.3
3503,Kabupaten Trenggalek,2026-03-17,forecast,26.2,0.0,84,7.6
3503,Kabupaten Trenggalek,2026-03-18,forecast,26.2,1.2,84,10.0
3504,Kabupaten Tulungagung,2026-03-12,forecast,27.5,0.0,72,14.3
3504,Kabupaten Tulungagung,2026-03-13,forecast,27.2,0.0,73,14.2
3504,Kabupaten Tulungagung,2026-03-14,forecast,26.8,3.9,80,7.6
3504,Kabupaten Tulungagung,2026-03-15,forecast,26.3,11.1,86,9.8
3504,Kabupaten Tulungagung,2026-03-16,forecast,27.1,3.3,83,7.6
3504,Kabupaten Tulungagung,2026-03-17,forecast,26.6,0.0,84,8.7
3504,Kabupaten Tulungagung,2026-03-18,forecast,26.7,0.0,83,11.9
3505,Kabupaten Blitar,2026-03-12,forecast,25.9,0.4,84,17.1
3505,Kabupaten Blitar,2026-03-13,forecast,25.7,0.0,84,18.8
3505,Kabupaten Blitar,2026-03-14,forecast,25.6,7.7,87,14.3
3505,Kabupaten Blitar,2026-03-15,forecast,25.6,15.0,88,10.7
3505,Kabupaten Blitar,2026-03-16,forecast,25.6,5.1,89,12.7
3505,Kabupaten Blitar,2026-03-17,forecast,25.6,3.0,90,13.2
3505,Kabupaten Blitar,2026-03-18,forecast,25.6,0.3,89,15.7
3506,Kabupaten Kediri,2026-03-12,forecast,22.4,2.8,74,8.9
3506,Kabupaten Kediri,2026-03-13,forecast,22.3,5.6,78,8.0
3506,Kabupaten Kediri,2026-03-14,forecast,22.1,13.8,84,6.4
3506,Kabupaten Kediri,2026-03-15,forecast,22.0,40.8,87,5.9
3506,Kabupaten Kediri,2026-03-16,forecast,21.8,18.0,89,5.6
3506,Kabupaten Kediri,2026-03-17,forecast,21.7,5.4,86,6.8
3506,Kabupaten Kediri,2026-03-18,forecast,21.6,8.4,87,8.4
3507,Kabupaten Malang,2026-03-12,forecast,23.0,0.0,79,13.9
3507,Kabupaten Malang,2026-03-13,forecast,23.1,1.3,79,14.0
3507,Kabupaten Malang,2026-03-14,forecast,23.0,7.5,82,11.8
3507,Kabupaten Malang,2026-03-15,forecast,22.9,13.5,87,7.2
3507,Kabupaten Malang,2026-03-16,forecast,22.7,7.8,88,9.7
3507,Kabupaten Malang,2026-03-17,forecast,22.6,0.6,87,10.5
3507,Kabupaten Malang,2026-03-18,forecast,22.4,4.8,88,10.0
3508,Kabupaten Lumajang,2026-03-12,forecast,25.6,0.3,84,17.2
3508,Kabupaten Lumajang,2026-03-13,forecast,25.5,3.3,84,15.9
3508,Kabupaten Lumajang,2026-03-14,forecast,25.2,20.9,87,13.1
3508,Kabupaten Lumajang,2026-03-15,forecast,25.4,10.8,88,9.5
3508,Kabupaten Lumajang,2026-03-16,forecast,25.2,19.2,90,11.0
3508,Kabupaten Lumajang,2026-03-17,forecast,25.5,3.6,87,12.5
3508,Kabupaten Lumajang,2026-03-18,forecast,25.3,0.6,86,13.3
3509,Kabupaten Jember,2026-03-12,forecast,23.1,0.0,85,16.8
3509,Kabupaten Jember,2026-03-13,forecast,22.9,4.5,86,14.6
3509,Kabupaten Jember,2026-03-14,forecast,22.9,9.4,89,12.9
3509,Kabupaten Jember,2026-03-15,forecast,23.0,27.0,93,9.0
3509,Kabupaten Jember,2026-03-16,forecast,22.6,13.8,94,9.8
3509,Kabupaten Jember,2026-03-17,forecast,22.8,4.2,89,12.9
3509,Kabupaten Jember,2026-03-18,forecast,22.7,6.0,92,10.0
3510,Kabupaten Banyuwangi,2026-03-12,forecast,25.1,0.0,73,16.6
3510,Kabupaten Banyuwangi,2026-03-13,forecast,24.7,2.3,78,12.4
3510,Kabupaten Banyuwangi,2026-03-14,forecast,23.9,28.5,88,11.8
3510,Kabupaten Banyuwangi,2026-03-15,forecast,23.5,18.3,91,8.3
3510,Kabupaten Banyuwangi,2026-03-16,forecast,23.6,28.8,91,8.2
3510,Kabupaten Banyuwangi,2026-03-17,forecast,24.0,14.4,87,14.1
